folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060110010,26,6,10,6,5,1,130750.76
20060110010,8,6,10, ,5,1,130750.76
20060110020,15,6,10,6,5,0,150263.15
20060110060,13,6,11,6,4,1,89753.4
20060110060,10,6,11, ,4,1,89753.4
20060110090,14,6,10,6,6,2,239342.4
20060110090,11,6,10, ,6,2,239342.4
20060110090,5,6,10, ,6,2,239342.4
20060110100,41,6,10,5,2,0,319093.29
20060110130,14,6,4,6,10,3,24924.48
20060110130,10,6,4, ,10,3,24924.48
20060110130,7,6,4, ,10,3,24924.48
20060110130,17,6,4,6,10,3,24924.48
20060110130,6,6,4, ,10,3,24924.48
20060110140,8,6,6, ,4,2,34654.78
20060110140,6,6,6, ,4,2,34654.78
20060110150,5,6,3, ,5,3,22406.47
20060110160,21,6,7,6,4,0,114934.2
20060110160,15,6,7,6,4,0,114934.2
20060110190,8,6,3, ,4,2,11249.09
20060110190,5,6,3, ,4,2,11249.09
20060110220,12,6,3,6,5,2,41944.78
20060110220,9,6,3, ,5,2,41944.78
20060110230,11,6,10, ,4,2,72004.67
20060110230,6,6,10, ,4,2,72004.67
20060110270,16,6,10,6,4,0,41560.8
20060110280,8,6,7, ,4,1,61042.28
20060110280,13,6,7,6,4,1,61042.28
20060110290,14,6,5,6,5,2,51851.57
20060110290,11,6,5, ,5,2,51851.57
20060110290,6,6,5, ,5,2,51851.57
20060110300,18,6,4,6,7,2,63889.97
20060110300,13,6,4,6,7,2,63889.97
20060110300,11,6,4, ,7,2,63889.97
20060110300,9,6,4, ,7,2,63889.97
20060110310,10,6,3, ,7,5,27855.67
20060110310,8,6,3, ,7,5,27855.67
20060110310,7,6,3, ,7,5,27855.67
20060110310,6,6,3, ,7,5,27855.67
20060110320,12,6,6,6,4,1,18447.3
20060110320,6,6,6, ,4,1,18447.3
20060110350,9,6,5, ,6,4,13667.45
20060110350,7,6,5, ,6,4,13667.45
20060110380,22,6,4,6,3,0,25430.13
20060110380,13,6,4,6,3,0,25430.13
20060110400,11,6,5, ,4,3,14419.42
20060110400,5,6,5, ,4,3,14419.42
20060110410,5,6,5, ,3,1,17679.45
20060110450,6,6,3, ,5,3,30304.73
20060120010,24,6,1,6,9,3,60405.45
20060120020,20,6,6,6,5,0,103977.43
20060120020,19,6,6,6,5,0,103977.43
20060120050,9,6,4, ,4,1,94377.89
20060120070,9,6,1, ,4,1,15274.25
20060120080,11,6,5, ,6,4,16330.89
20060120080,9,6,5, ,6,4,16330.89
20060120080,5,6,5, ,6,4,16330.89
20060120100,10,6,6, ,5,3,28645.04
20060120100,8,6,6, ,5,3,28645.04
20060120100,6,6,6, ,5,3,28645.04
20060120120,16,6,10,6,5,2,25694.21
20060120120,11,6,10, ,5,2,25694.21
20060120120,6,6,10, ,5,2,25694.21
20060120140,13,6,10,6,4,0,71587.77
20060120140,22,6,10,6,4,0,71587.77
20060120170,15,6,9,6,5,1,331400.69
20060120170,12,6,9,6,5,1,331400.69
20060120170,8,6,9, ,5,1,331400.69
20060120200,25,6,3,6,4,0,61937.9
20060120200,20,6,3,6,4,0,61937.9
20060120210,14,6,10,6,2,0,21202.07
20060120220,20,6,3,6,5,0,14888.22
20060120230,13,6,6,6,6,2,26171.44
20060120230,13,6,6,6,6,2,26171.44
20060120230,6,6,6, ,6,2,26171.44
20060120240,7,6,10, ,4,1,57298.68
20060120250,6,6,10, ,5,2,111728.27
20060120280,30,6,6,1,6,3,27124.62
20060120280,13,6,6,6,6,3,27124.62
20060120280,7,6,6, ,6,3,27124.62
20060120320,10,6,3, ,5,3,21124.45
20060120320,6,6,3, ,5,3,21124.45
20060120350,7,6,3, ,6,3,16479.09
20060120370,22,6,1,6,6,1,46389.42
20060120380,16,6,6,6,7,3,65125.39
20060120380,14,6,6,6,7,3,65125.39
20060120380,10,6,6, ,7,3,65125.39
20060120380,7,6,6, ,7,3,65125.39
20060120390,7,6,4, ,4,1,12344.54
20060120400,13,6,3,6,5,1,36527.15
20060120430,17,6,4,6,6,0,69784.76
20060120430,14,6,4,6,6,0,69784.76
20060120450,6,6,3, ,5,3,34046.99
20060120480,15,6,5,6,6,2,36058.33
20060130030,22,6,4,6,4,1,69767.79
20060130030,11,6,4, ,4,1,69767.79
20060130050,23,6,9,6,2,0,63637.86
