folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060110010,53, ,10,5,5,1,130750.76
20060110010,49, ,10,5,5,1,130750.76
20060110010,26,6,10,6,5,1,130750.76
20060110010,21, ,10,6,5,1,130750.76
20060110010,8,6,10, ,5,1,130750.76
20060110020,47, ,10,5,5,0,150263.15
20060110020,47, ,10,5,5,0,150263.15
20060110020,23, ,10,6,5,0,150263.15
20060110020,20,3,10,6,5,0,150263.15
20060110020,15,6,10,6,5,0,150263.15
20060110030,51, ,3,3,1,0,40787.93
20060110050,74, ,4,4,1,0,12052.89
20060110060,46, ,11,5,4,1,89753.4
20060110060,41, ,11,5,4,1,89753.4
20060110060,13,6,11,6,4,1,89753.4
20060110060,10,6,11, ,4,1,89753.4
20060110090,44, ,10,5,6,2,239342.4
20060110090,41, ,10,5,6,2,239342.4
20060110090,14,6,10,6,6,2,239342.4
20060110090,11,6,10, ,6,2,239342.4
20060110090,5,6,10, ,6,2,239342.4
20060110090,24, ,10,3,6,2,239342.4
20060110100,41, ,10,5,2,0,319093.29
20060110100,41,6,10,5,2,0,319093.29
20060110110,38, ,5,2,4,1,16092.3
20060110110,15, ,5,6,4,1,16092.3
20060110110,14, ,5,6,4,1,16092.3
20060110110,1, ,5, ,4,1,16092.3
20060110120,67, ,4,4,4,0,19717.82
20060110120,47, ,4,6,4,0,19717.82
20060110120,46, ,4,6,4,0,19717.82
20060110120,34, ,4,6,4,0,19717.82
20060110130,47, ,4,5,10,3,24924.48
20060110130,48, ,4,5,10,3,24924.48
20060110130,23, ,4,6,10,3,24924.48
20060110130,14,6,4,6,10,3,24924.48
20060110130,10,6,4, ,10,3,24924.48
20060110130,7,6,4, ,10,3,24924.48
20060110130,18, ,4,6,10,3,24924.48
20060110130,15, ,4,6,10,3,24924.48
20060110130,17,6,4,6,10,3,24924.48
20060110130,6,6,4, ,10,3,24924.48
20060110140,32, ,6,5,4,2,34654.78
20060110140,35, ,6,5,4,2,34654.78
20060110140,8,6,6, ,4,2,34654.78
20060110140,6,6,6, ,4,2,34654.78
20060110150,23, ,3,1,5,3,22406.47
20060110150,24, ,3,1,5,3,22406.47
20060110150,5,6,3, ,5,3,22406.47
20060110150,2, ,3, ,5,3,22406.47
20060110150,3, ,3, ,5,3,22406.47
20060110160,42, ,7,5,4,0,114934.2
20060110160,41, ,7,5,4,0,114934.2
20060110160,21,6,7,6,4,0,114934.2
20060110160,15,6,7,6,4,0,114934.2
20060110170,63, ,4,5,6,1,41152.94
20060110170,52, ,4,5,6,1,41152.94
20060110170,24, ,4,5,6,1,41152.94
20060110170,23, ,4,5,6,1,41152.94
20060110170,2, ,4, ,6,1,41152.94
20060110170,15, ,4,6,6,1,41152.94
20060110180,50, ,4,5,5,0,43517.94
20060110180,51, ,4,5,5,0,43517.94
20060110180,19, ,4,6,5,0,43517.94
20060110180,18, ,4,6,5,0,43517.94
20060110180,13, ,4,6,5,0,43517.94
20060110190,42, ,3,4,4,2,11249.09
